pair,country,currency,start_rate,end_rate,exchange_rate_change_pct,local_currency_value_change_pct,maximum_30d_volatility_pct,lat,lon
USDEGP,Egypt,EGP,30.437224241834127,58.836645498681314,93.30489873585088,-48.26825359627903,21.190133318278882,26.8206,30.8025
USDKES,Kenya,KES,123.68428846999949,143.37937457116348,15.923676600153769,-13.736345384453275,15.445204454660216,-0.0236,37.9062
USDNGN,Nigeria,NGN,466.43625189236354,1782.6445921013246,282.1839715221564,-73.83459081192716,38.2929271855633,9.082,8.6753
USDZAR,South Africa,ZAR,17.11753083195181,25.13520431706397,46.83896038408918,-31.898183058209963,28.582833156759502,-30.5595,22.9375
